"Multi-PIP Response Magnitude to Impedance Calibration"
"Name",High
"Load Resistance",10000000
"Input Gain",IA_CTRL_PGA_GAIN5
"Output Vpp",IA_CTRL_VOLT_2000
"Rfb Select",False
"Frequency (Hz)","Gain"
4850,1.68640435988427E-10
4875,1.68194796968957E-10
4900,1.67697376817673E-10
4925,1.67324054053385E-10
4950,1.66946582101423E-10
4975,1.66415193759252E-10
5000,1.65992787446534E-10
5025,1.65593598243093E-10
5050,1.65378652184814E-10
5075,1.65020870669373E-10
5100,1.64857811834469E-10
5125,1.64573413344525E-10
5150,1.64294268482252E-10
5175,1.64142575635167E-10
5200,1.63934304803429E-10
5225,1.63662459937732E-10
5250,1.63496709507611E-10
5275,1.62856633191245E-10
5300,1.62616585631016E-10
5325,1.62432943774642E-10
5350,1.62258887500201E-10
5375,1.61893173248475E-10
5400,1.6142067749857E-10
5425,1.60916966031216E-10
5450,1.60692179799656E-10
5475,1.60318402142558E-10
5500,1.60076741873994E-10
5525,1.59420703394291E-10
5550,1.59302728219593E-10
5575,1.5930629101208E-10
5600,1.59139149212553E-10
5625,1.5890634257341E-10
5650,1.58921082558209E-10
5675,1.58644497432368E-10
5700,1.58717023870604E-10
5725,1.58171797778394E-10
5750,1.5787906370071E-10
5775,1.57593615542741E-10
5800,1.5752913888535E-10
5825,1.57130533300551E-10
5850,1.56928551491794E-10
5875,1.56678017185479E-10
5900,1.566219960294E-10
5925,1.5624820694875E-10
5950,1.55926664424563E-10
5975,1.5554422145735E-10
6000,1.55283569677915E-10
6025,1.5502542049168E-10
6050,1.54655275007232E-10
6075,1.54471882071893E-10
6100,1.54185704624469E-10
6125,1.53945350006862E-10
6150,1.53752649120635E-10
6175,1.53470117392189E-10
6200,1.53110738503824E-10
6225,1.52906917100444E-10
6250,1.52697565428681E-10
6275,1.52550168244076E-10
6300,1.52374029659113E-10
6325,1.5206585257797E-10
6350,1.51815942197661E-10
6375,1.51480909253031E-10
6400,1.51115331591051E-10
6425,1.50681224617484E-10
6450,1.50206180364567E-10
6475,1.49804549634065E-10
6500,1.49605025317482E-10
6525,1.49318636670626E-10
6550,1.49161055126438E-10
6575,1.48990491436349E-10
6600,1.49034509795077E-10
6625,1.49035052654997E-10
6650,1.48950520237273E-10
6675,1.48752529698903E-10
6700,1.48500690715865E-10
6725,1.48220921686806E-10
6750,1.47984929916377E-10
6775,1.47608092110591E-10
6800,1.47191972813674E-10
6825,1.47012361938792E-10
6850,1.46681815784427E-10
6875,1.46476167001285E-10
6900,1.46284445458231E-10
6925,1.45983775672928E-10
6950,1.45549141714178E-10
6975,1.45319056710778E-10
7000,1.45036250548871E-10
7025,1.44673080109592E-10
7050,1.44472543279059E-10
7075,1.44179534145319E-10
7100,1.44007401126969E-10
7125,1.43808456908081E-10
7150,1.43702747617681E-10
7175,1.43424584340657E-10
7200,1.43150007366386E-10
7225,1.4276979856214E-10
7250,1.42574258284507E-10
7275,1.4232772998682E-10
7300,1.42171241740507E-10
7325,1.41719427378496E-10
7350,1.41540336995804E-10
7375,1.41371970151833E-10
7400,1.41054770466967E-10
7425,1.40673821116911E-10
7450,1.40457341381836E-10
7475,1.4023067543681E-10
7500,1.39991874960589E-10
7525,1.39690676428897E-10
7550,1.3970492611223E-10
7575,1.39602896214997E-10
7600,1.39463767615238E-10
7625,1.39201855862183E-10
7650,1.38913841883022E-10
7675,1.38887233890497E-10
7700,1.38688792478804E-10
7725,1.38219720183178E-10
7750,1.38035800595688E-10
7775,1.37816838013632E-10
7800,1.37575673952972E-10
7825,1.37457487442149E-10
7850,1.37095077981976E-10
7875,1.36803819924865E-10
7900,1.36587379137732E-10
7925,1.36229576991479E-10
7950,1.36045961210782E-10
7975,1.3586369348498E-10
8000,1.35415716530255E-10
8025,1.35109852761359E-10
8050,1.34711875764962E-10
8075,1.34444040048118E-10
8100,1.34175827337678E-10
8125,1.33764266658492E-10
8150,1.33536117578316E-10
8175,1.33340315599697E-10
8200,1.33067421827109E-10
8225,1.33034909607186E-10
8250,1.32886169073615E-10
8275,1.32863937156181E-10
8300,1.32729118123976E-10
8325,1.32387157827978E-10
8350,1.32197437859713E-10
8375,1.3206056091998E-10
8400,1.31814641742702E-10
8425,1.31713810676741E-10
8450,1.31355361567182E-10
8475,1.31263464897527E-10
8500,1.31017162953431E-10
8525,1.30852924052261E-10
8550,1.30671178632979E-10
8575,1.3053241521327E-10
8600,1.30282304261683E-10
8625,1.301952782039E-10
8650,1.29957971527398E-10
8675,1.29874429038618E-10
8700,1.29738966322109E-10
8725,1.29564795025972E-10
8750,1.29185839724352E-10
8775,1.28931256542936E-10
8800,1.28677775683225E-10
